Longitude,Latitude,Country,Day of Access,Time of Access,Time Taken (ms),Browser Language,User Agent,Screen Width,Screen Height,Decision
37.1502680457982,22.233394610278573,Malta,Tuesday,22:08:00,7849,es,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36",1366,768,Denied
43.37767367184706,39.74243153841842,Argentina,Thursday,17:07:00,5406,fr,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_2) AppleWebKit/604.4.7 (KHTML, like Gecko) Version/11.0.2 Safari/604.4.7",1366,768,Denied
49.47795234874294,51.38981253386997,UAE,Wednesday,04:22:00,1092,fr,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0,2560,1600,Granted
48.052970532811656,48.88613003289164,Zimbabwe,Saturday,14:03:00,9166,es,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1600,900,Denied
53.022832663023586,38.86394997235895,UAE,Monday,04:05:00,6409,en-GB,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134",3840,2160,Denied
48.22439311117832,43.309192740765596,Antigua and Barbuda,Thursday,06:34:00,5146,ja,"Mozilla/5.0 (Linux; Android 8.0.0; SM-G960F Build/R16NW) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.84 Mobile Safari/537.36",1366,768,Denied
59.22353803984839,51.8308864385112,Armenia,Thursday,22:06:00,8152,en-GB,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A372 Safari/604.1",1920,1080,Denied
59.63441670037737,27.28613363555678,North Macedonia (formerly Macedonia),Monday,00:14:00,2310,pt-BR,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_2) AppleWebKit/604.4.7 (KHTML, like Gecko) Version/11.0.2 Safari/604.4.7",1920,1080,Denied
59.52390703597178,30.32824394120935,Kyrgyzstan,Tuesday,00:25:00,4483,en-US,"Mozilla/5.0 (Linux; Android 8.0.0; SM-G960F Build/R16NW) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.84 Mobile Safari/537.36",1600,900,Denied
41.079092821567635,35.94003186625083,Iraq,Wednesday,13:12:00,5431,zh-CN,"Mozilla/5.0 (Linux; Android 8.0.0; SM-G960F Build/R16NW) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.84 Mobile Safari/537.36",3840,2160,Denied
35.3769851371239,53.402896784611066,Samoa,Sunday,12:40:00,9759,ar,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0,3840,2160,Denied
53.34808689336579,39.26796277200242,UAE,Sunday,10:04:00,8558,en-GB,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_2) AppleWebKit/604.4.7 (KHTML, like Gecko) Version/11.0.2 Safari/604.4.7",3200,1800,Granted
52.014036867531374,31.05289266955316,UAE,Tuesday,22:30:00,1260,ja,Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; AS; rv:11.0) like Gecko,3200,1800,Granted
49.21030914563378,24.945592392000822,Dominica,Tuesday,16:32:00,7823,fr,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_2) AppleWebKit/604.4.7 (KHTML, like Gecko) Version/11.0.2 Safari/604.4.7",3840,2160,Denied
51.71436919928341,55.69096386056944,Qatar,Monday,10:02:00,7575,fr,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:15.0) Gecko/20100101 Firefox/15.0.1,1920,1080,Denied
41.43832355436939,46.204821865149746,Spain,Wednesday,00:45:00,838,en-US,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:15.0) Gecko/20100101 Firefox/15.0.1,3200,1800,Denied
46.22471066221718,55.32284391737823,Belgium,Sunday,01:22:00,2639,de,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.170 Safari/537.3 OPR/53.0.2907.99",2560,1440,Denied
53.47090474539057,26.636130441825514,Germany,Sunday,20:33:00,8421,en-GB,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0,2560,1440,Denied
58.71908982855414,40.34185857932722,San Marino,Saturday,01:14:00,1471,pt-BR,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.170 Safari/537.3 OPR/53.0.2907.99",2560,1440,Denied
48.096950843918464,54.81913618054796,UAE,Friday,13:19:00,8468,ja,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0,1366,768,Granted
35.55447826167653,52.46723742324057,Congo (Congo-Brazzaville),Friday,22:21:00,7856,es,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",3840,2160,Denied
49.00877756894617,27.198787674032474,Nauru,Sunday,19:38:00,7147,es,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0,1920,1080,Denied
53.53395822587299,53.9383633660976,Liberia,Thursday,03:27:00,6829,fr,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:15.0) Gecko/20100101 Firefox/15.0.1,1600,900,Denied
41.98205974009458,30.451145263010467,UAE,Sunday,19:24:00,9176,ja,"Mozilla/5.0 (Linux; Android 8.0.0; SM-G960F Build/R16NW) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.84 Mobile Safari/537.36",2560,1600,Denied
46.798108867601755,49.018296267293735,UAE,Wednesday,12:04:00,6906,ru,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0,1600,900,Granted
49.924650442937654,42.78865523018418,Trinidad and Tobago,Thursday,12:17:00,1085,ja,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_2) AppleWebKit/604.4.7 (KHTML, like Gecko) Version/11.0.2 Safari/604.4.7",1600,900,Denied
45.39639595314601,26.01083252781606,UAE,Saturday,07:43:00,4102,fr,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0,2560,1600,Denied
51.31205734072853,23.324998514268465,Colombia,Sunday,19:26:00,787,zh-CN,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36",2560,1440,Denied
50.43201162192114,45.72430730198617,UAE,Wednesday,22:27:00,4165,pt-BR,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36 OPR/63.0.3368.43",1920,1080,Denied
54.913259740627204,54.59568747343125,Samoa,Friday,05:15:00,9923,ar,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A372 Safari/604.1",1920,1080,Denied
45.74510002805741,40.03765908425048,UAE,Wednesday,15:37:00,9528,fr,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36 OPR/63.0.3368.43",1600,900,Granted
48.7651063584766,30.87854334981662,UAE,Friday,11:08:00,4940,de,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.170 Safari/537.3 OPR/53.0.2907.99",2560,1440,Denied
47.06855672987453,40.0264117141145,Yemen,Thursday,05:17:00,3642,en-GB,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36 OPR/63.0.3368.43",3840,2160,Denied
56.557618880458435,50.91102950891273,Liechtenstein,Thursday,15:24:00,3713,ru,Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; AS; rv:11.0) like Gecko,1366,768,Denied
48.5335668375421,53.732260556332925,UAE,Friday,04:55:00,4536,es,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36 OPR/63.0.3368.43",3840,2160,Denied
46.38741794267868,59.2157896920413,Bolivia,Thursday,20:43:00,1148,ru,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134",3200,1800,Denied
43.3383810997838,39.83017764228033,Bahamas,Sunday,21:00:00,8454,fr,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36 OPR/63.0.3368.43",3200,1800,Denied
52.878163107606554,43.409262175340295,Zimbabwe,Tuesday,19:55:00,2385,ar,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0,1366,768,Denied
52.44138006642215,30.661576067484745,Cyprus,Friday,06:31:00,1955,en-US,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134",1920,1080,Denied
52.63251815230004,23.779877563424723,Sierra Leone,Wednesday,06:09:00,6753,de,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:15.0) Gecko/20100101 Firefox/15.0.1,3840,2160,Denied
49.80557717081974,25.297181009032265,Switzerland,Friday,13:09:00,4872,es,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",3840,2160,Denied
33.434634129073714,25.38554970505288,Ireland,Monday,04:30:00,6867,pt-BR,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.170 Safari/537.3 OPR/53.0.2907.99",3840,2160,Denied
59.1330264599944,39.35066175851769,Zimbabwe,Sunday,00:12:00,1769,de,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36",1366,768,Denied
59.6523422465839,38.58552839097619,Algeria,Friday,00:39:00,3356,zh-CN,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_2) AppleWebKit/604.4.7 (KHTML, like Gecko) Version/11.0.2 Safari/604.4.7",1600,900,Denied
30.41797059582145,40.26962097393088,UAE,Saturday,02:41:00,1507,ar,"Mozilla/5.0 (Linux; Android 8.0.0; SM-G960F Build/R16NW) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.84 Mobile Safari/537.36",3840,2160,Granted
35.85005523876841,50.65926360269072,Gabon,Friday,01:05:00,2031,de,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:15.0) Gecko/20100101 Firefox/15.0.1,1920,1080,Denied
35.84869060575369,46.04665569483407,Sao Tome and Principe,Thursday,08:53:00,8040,en-GB,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36",1600,900,Denied
57.81779215445949,44.29025938808063,UAE,Thursday,01:02:00,3132,ar,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A372 Safari/604.1",1600,900,Granted
42.08877295633437,27.11347091127788,UAE,Saturday,00:44:00,9575,en-GB,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",3840,2160,Denied
34.494979861961326,48.92323657938,UAE,Tuesday,15:39:00,6371,pt-BR,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A372 Safari/604.1",1366,768,Granted
37.722902205738876,30.696247459377407,UAE,Friday,16:03:00,8006,en-US,"Mozilla/5.0 (Linux; Android 8.0.0; SM-G960F Build/R16NW) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.84 Mobile Safari/537.36",3840,2160,Granted
35.50131653719015,27.81170004006075,Comoros,Tuesday,17:39:00,4245,ar,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36 OPR/63.0.3368.43",3840,2160,Denied
41.02434932498443,50.13548326016678,UAE,Thursday,18:55:00,7419,es,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A372 Safari/604.1",3840,2160,Granted
33.448646768000486,48.0985176823832,Haiti,Monday,04:29:00,690,ja,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A372 Safari/604.1",2560,1440,Denied
44.15862523243961,52.95307009018113,UAE,Monday,17:02:00,9363,ar,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:15.0) Gecko/20100101 Firefox/15.0.1,3200,1800,Granted
50.95603031229365,30.96816689084573,Antigua and Barbuda,Friday,12:46:00,7197,ja,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.170 Safari/537.3 OPR/53.0.2907.99",1600,900,Denied
33.433825673677674,54.42545281471808,UAE,Tuesday,07:49:00,5036,de,Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; AS; rv:11.0) like Gecko,3200,1800,Denied
46.278065940092645,54.857784690591714,UAE,Saturday,17:10:00,3526,de,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:15.0) Gecko/20100101 Firefox/15.0.1,1366,768,Granted
35.12366534601091,35.37518293795071,UAE,Tuesday,02:26:00,9366,ja,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134",1366,768,Denied
58.444968655480736,27.652637738715413,Ethiopia,Sunday,19:25:00,4233,zh-CN,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134",3200,1800,Denied
59.455038284526495,49.6542549567845,Iraq,Sunday,19:43:00,3310,pt-BR,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_2) AppleWebKit/604.4.7 (KHTML, like Gecko) Version/11.0.2 Safari/604.4.7",1366,768,Denied
54.3951714707708,58.93712811186849,UAE,Friday,14:50:00,6379,de,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",3200,1800,Denied
46.831996804923506,21.538169479220983,Bolivia,Friday,09:12:00,4292,pt-BR,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1600,900,Denied
53.61509099009712,28.292305491985566,UAE,Saturday,19:17:00,9780,ja,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_2) AppleWebKit/604.4.7 (KHTML, like Gecko) Version/11.0.2 Safari/604.4.7",3840,2160,Denied
59.038977392868674,24.449019164592322,South Africa,Saturday,00:08:00,2014,es,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2560,1600,Denied
30.41033371887586,39.35148749194169,Kyrgyzstan,Tuesday,19:07:00,975,ar,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_2) AppleWebKit/604.4.7 (KHTML, like Gecko) Version/11.0.2 Safari/604.4.7",3200,1800,Denied
59.22031746760257,45.90738280258211,Uruguay,Friday,22:57:00,3405,fr,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0,2560,1440,Denied
35.022474338533776,36.38807592454211,UAE,Wednesday,15:36:00,5476,fr,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_2) AppleWebKit/604.4.7 (KHTML, like Gecko) Version/11.0.2 Safari/604.4.7",2560,1440,Granted
38.05904882059569,33.991600394738185,Mexico,Tuesday,17:27:00,5540,fr,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_2) AppleWebKit/604.4.7 (KHTML, like Gecko) Version/11.0.2 Safari/604.4.7",3200,1800,Denied
39.16287924926105,46.31556599210259,UAE,Tuesday,20:05:00,2056,ar,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:15.0) Gecko/20100101 Firefox/15.0.1,1600,900,Granted
52.46165002443907,37.44413960076099,UAE,Friday,16:04:00,6164,fr,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0,1600,900,Granted
53.80962957887347,52.57389384773158,Guinea-Bissau,Wednesday,20:07:00,2648,ja,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2560,1600,Denied
56.68962357398298,30.97027766897957,Nigeria,Tuesday,04:41:00,7285,pt-BR,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_2) AppleWebKit/604.4.7 (KHTML, like Gecko) Version/11.0.2 Safari/604.4.7",1600,900,Denied
50.96449991300926,55.09761977577858,Albania,Monday,15:40:00,3815,ru,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0,2560,1440,Denied
53.5079546911758,28.944648912265286,UAE,Saturday,10:05:00,5253,fr,Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; AS; rv:11.0) like Gecko,1600,900,Denied
42.15108756644591,39.6625428618718,Burkina Faso,Monday,20:53:00,6253,ja,"Mozilla/5.0 (Linux; Android 8.0.0; SM-G960F Build/R16NW) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.84 Mobile Safari/537.36",3840,2160,Denied
43.09448414424725,20.11201195515479,South Sudan,Thursday,10:01:00,1408,zh-CN,"Mozilla/5.0 (Linux; Android 8.0.0; SM-G960F Build/R16NW) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.84 Mobile Safari/537.36",1600,900,Denied
32.64648261940424,54.19192389867527,UAE,Wednesday,14:13:00,3221,ar,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0,3840,2160,Granted
41.838471795748866,30.77845553202597,Fiji,Saturday,03:01:00,1518,zh-CN,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134",1366,768,Denied
37.502270543498696,54.91204835052197,Bhutan,Saturday,07:35:00,2157,ja,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_2) AppleWebKit/604.4.7 (KHTML, like Gecko) Version/11.0.2 Safari/604.4.7",3200,1800,Denied
59.72444660337911,25.870491998835586,UAE,Tuesday,12:17:00,6547,ru,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",2560,1600,Granted
37.31339571062111,33.70959585836806,Georgia,Wednesday,11:20:00,5087,ar,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.170 Safari/537.3 OPR/53.0.2907.99",3840,2160,Denied
51.84799726980383,46.31336089597522,Luxembourg,Friday,15:49:00,3128,ru,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0,2560,1600,Denied
35.303962010895816,54.35850911852637,Azerbaijan,Tuesday,06:31:00,9553,fr,"Mozilla/5.0 (Linux; Android 8.0.0; SM-G960F Build/R16NW) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.84 Mobile Safari/537.36",2560,1440,Denied
52.84650846136811,47.34105967201577,UAE,Saturday,00:11:00,4869,en-GB,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36",1600,900,Denied
56.10652004999702,47.393175482216705,Sri Lanka,Thursday,08:36:00,9351,en-GB,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.170 Safari/537.3 OPR/53.0.2907.99",2560,1440,Denied
58.94665687613307,24.847704516310923,Cyprus,Friday,02:37:00,6642,es,Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; AS; rv:11.0) like Gecko,1920,1080,Denied
46.15665447348033,33.991007456912236,Monaco,Wednesday,09:49:00,6703,en-GB,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134",2560,1440,Denied
53.89219444874895,57.539858097677346,UAE,Friday,10:26:00,7072,ru,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",1366,768,Denied
45.19622188369729,39.78206571462111,Slovenia,Tuesday,20:12:00,5130,fr,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_2) AppleWebKit/604.4.7 (KHTML, like Gecko) Version/11.0.2 Safari/604.4.7",1600,900,Denied
40.45766177173477,39.84206819056891,UAE,Sunday,16:33:00,3248,pt-BR,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",2560,1600,Granted
37.96728395001943,50.03545412161553,Moldova,Friday,10:48:00,1140,zh-CN,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_2) AppleWebKit/604.4.7 (KHTML, like Gecko) Version/11.0.2 Safari/604.4.7",1366,768,Denied
50.84429399589026,29.50712643051952,UAE,Sunday,07:26:00,6064,fr,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134",3840,2160,Denied
35.87388535782437,37.92401929411076,UAE,Thursday,16:47:00,7120,ar,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:15.0) Gecko/20100101 Firefox/15.0.1,1600,900,Granted
34.236340026822326,36.9906149698106,Costa Rica,Monday,14:34:00,896,en-US,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:15.0) Gecko/20100101 Firefox/15.0.1,3840,2160,Denied
48.155020253280966,31.56997162024907,Australia,Saturday,02:57:00,4727,pt-BR,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_2) AppleWebKit/604.4.7 (KHTML, like Gecko) Version/11.0.2 Safari/604.4.7",3840,2160,Denied
54.59621633781418,39.56368976696178,Bolivia,Thursday,18:28:00,8295,en-GB,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36 OPR/63.0.3368.43",1920,1080,Denied
42.49953948072613,20.806958188087968,Belarus,Wednesday,01:13:00,6324,de,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36",2560,1600,Denied
45.067971359415765,33.61545701375768,Australia,Thursday,09:47:00,2063,en-GB,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A372 Safari/604.1",1600,900,Denied
39.57265334817937,20.11860707887671,India,Saturday,21:17:00,7852,en-GB,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36",1920,1080,Denied
45.041215732166116,29.390097664237842,Somalia,Sunday,20:38:00,1525,es,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36 OPR/63.0.3368.43",1920,1080,Denied
